incident_id,cause,first_seen_ts,last_seen_ts
907e767b670c,Lipsa parametri pentru livrare apă caldă de consum și încălzire,2026-02-01T00:50:57,2026-02-01T01:22:29
e4c3276568e0,Lipsa parametri pentru livrare apă caldă de consum și încălzire,2026-02-01T00:50:57,2026-02-01T06:35:36
cc4fd22c2048,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T01:22:29,2026-02-01T05:41:55
d273ba83d219,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T01:22:29,2026-02-01T05:41:55
40e02ac244d3,Parametrii insuficienti livrati de catre CTE SUD,2026-02-01T05:41:55,2026-02-02T14:07:13
6697d332d59c,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T06:35:36,2026-02-01T06:35:36
309f653fe368,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T06:35:36,2026-02-01T09:27:11
739174a1d800,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T06:35:36,2026-02-01T06:35:36
79f350a5fb5d,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T06:35:36,2026-02-01T06:35:36
a3ef628aa659,Lipsa parametri pentru livrare apă caldă de consum și încălzire,2026-02-01T07:49:37,2026-02-01T09:03:12
c85941607080,Functionare deficitara a apei caldei si a incalzirii din cauza manevrelor de echilibrare hidraulica a retelei termice,2026-02-01T09:03:12,2026-02-01T09:27:11
c70dcab65e70,Functionare deficitara a apei caldei si a incalzirii din cauza manevrelor de echilibrare hidraulica a retelei termice,2026-02-01T09:03:12,2026-02-01T09:27:11
df16fce1f3b0,Functionare deficitara a incalzirii din cauza manevrelor de echilibrare hidraulica a retelei termice,2026-02-01T09:03:12,2026-02-01T18:23:30
45f63ab0ccb4,Functionare deficitara a incalzirii din cauza manevrelor de echilibrare hidraulica a retelei termice,2026-02-01T09:03:12,2026-02-01T11:53:29
527620dcede8,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T09:57:01,2026-02-02T01:22:47
f3f6e4421fd8,Functionare deficitara a incalzirii din cauza manevrelor de echilibrare hidraulica a retelei termice,2026-02-01T10:43:23,2026-02-01T16:41:19
3822ccc586aa,Parametrii insuficienți furnizați de către CTE SUD,2026-02-01T10:43:23,2026-02-03T17:32:13
a388a5da7e93,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T11:53:29,2026-02-01T12:53:44
c640adb94a99,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T11:53:29,2026-02-01T12:53:44
366d66047b8b,Parametrii insuficienti furnizati de CTE SUD,2026-02-01T11:53:29,2026-02-02T01:22:47
be445c1e19a4,Parametrii insuficienti livrati de catre CTE SUD,2026-02-01T11:53:29,2026-02-02T09:45:39
215c59a0c910,Parametrii insuficienti livrati de catre CTE SUD,2026-02-01T11:53:29,2026-02-03T09:04:47
215c59a0c910,Parametrii insuficienti livrati de catre CTE SUD.,2026-02-03T09:31:03,2026-02-04T11:03:23
8ee178a5c41a,Parametrii insuficienți furnizați de către CTE SUD,2026-02-01T14:24:37,2026-02-01T15:58:39
d125a709555b,Avarie Apa Nova - lipsa apă rece la punctul termic,2026-02-01T15:58:39,2026-02-01T16:12:26
d2f607fc8994,Avarie Apa Nova - lipsa apă rece la punctul termic,2026-02-01T15:58:39,2026-02-01T16:12:26
03fe5323e876,Funcționare deficitară a apei calde de consum si a încălzirii din cauza manevrelor de echilibrare hidraulică a rețelei termice,2026-02-01T18:23:30,2026-02-01T20:59:23
f385cf703cdc,Funcționare deficitară a apei calde de consum si a încălzirii din cauza manevrelor de echilibrare hidraulică a rețelei termice,2026-02-01T20:23:55,2026-02-01T21:12:52
e268931a7006,Funcționare deficitară a apei calde de consum si a încălzirii din cauza manevrelor de echilibrare hidraulică a rețelei termice,2026-02-01T20:23:55,2026-02-02T05:38:14
