episode_id,sector,pt_name,utility,first_seen_ts,last_seen_ts,first_absent_ts,n_incidents,n_bridged_gaps,bridged_seconds
005c2bf4cba5,1,2 Turda,ACC,2024-10-01T09:00:01,2024-10-01T18:00:01,2024-10-01T19:00:01,1,0,0
2b3e0455c4f1,2,1 Socului,ACC,2024-10-01T09:00:01,2024-10-01T13:00:01,2024-10-01T14:00:01,1,0,0
d28e9d8991b3,2,16 Vergului,ACC,2024-10-01T09:00:01,2024-10-02T21:00:01,2024-10-02T22:00:01,1,0,0
d7f7dde36215,2,H1 Victor Manu,ACC,2024-10-01T09:00:01,2024-10-01T13:00:01,2024-10-01T14:00:01,1,0,0
c1e923017b39,6,MILITARI - 8 Placare,ACC,2024-10-01T09:00:01,2024-10-01T14:00:01,2024-10-01T15:00:01,1,0,0
e33ddaf7caed,3,18 C5/2 - Partial,ACC,2024-10-01T10:00:01,2024-10-01T11:00:01,2024-10-01T12:00:01,1,0,0
0412900feebc,3,2 C5/1 - Partial,ACC,2024-10-01T10:00:01,2024-10-01T12:00:01,2024-10-01T13:00:01,1,0,0
1a84978c0cc8,4,1 Oltenita Placare,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
4dc69974dce7,4,1 Stoian Militaru,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
6375659a5f9c,4,2 Oltenita Placare,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
37bafbc04c19,4,2 Oltenitei,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
d4b2402985be,4,2 Stoian Militaru,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
6fe68ae861ca,4,3 Oltenita Placare,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
e93e1de35b1c,4,4 Oltenita Placare,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
a9c7f0a08c9e,4,Complex Comercial,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
a2fb3d5b82a3,4,Livada Noua,ACC,2024-10-01T10:00:01,2024-10-01T23:00:02,2024-10-02T00:00:01,2,1,21600
15629f69ec19,4,Observator Astronomic,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
33b9974a9434,4,Pieptanari,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
fa4007dd2df4,4,SC Conexir Roell Group SA,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
daf6cebaa992,4,Sala Polivalenta,ACC,2024-10-01T10:00:01,2024-10-03T11:00:01,2024-10-03T13:00:01,1,0,0
fbeddc0941cd,4,Spitalul Clinic de Urgenta Bagdasar-Arseni,ACC,2024-10-01T10:00:01,2024-10-01T20:00:01,2024-10-01T21:00:01,1,0,0
eb3a2fbf645a,4,Tudor Gociu,ACC,2024-10-01T10:00:01,2024-10-02T15:00:01,2024-10-02T16:00:01,1,0,0
982ee3bf87af,1,9 Titulescu,ACC,2024-10-01T11:00:01,2024-10-03T05:00:01,2024-10-03T06:00:01,2,0,0
7a026fbdab7c,1,Veronica Micle,ACC,2024-10-01T11:00:01,2024-10-03T05:00:01,2024-10-03T06:00:01,2,0,0
e0bee9419ba7,2,1 Dimitrov,ACC,2024-10-01T11:00:01,2024-10-04T15:00:01,2024-10-04T16:00:01,1,0,0
ace9988fb3ba,2,1 Republicii,ACC,2024-10-01T11:00:01,2024-10-04T15:00:01,2024-10-04T16:00:01,1,0,0
