incident_id,estimated_restore,first_seen_ts,last_seen_ts
99d6bd69e729,2023-09-01T10:00,2023-09-01T07:00:01,2023-09-01T10:00:01
7765a43f0f48,2023-09-01T10:00,2023-09-01T07:00:01,2023-09-01T10:00:01
8161db8ad1b2,2023-09-01T10:00,2023-09-01T07:00:01,2023-09-01T10:00:01
d8c200440a12,2023-09-01T10:00,2023-09-01T07:00:01,2023-09-01T10:00:01
72a3d2120174,2023-09-01T11:00,2023-09-01T09:00:01,2023-09-01T11:00:01
97a94c6b5102,2023-09-01T13:00,2023-09-01T09:00:01,2023-09-01T11:00:01
fd117239cd7e,2023-09-01T15:00,2023-09-01T09:00:01,2023-09-01T15:00:01
46fd8d245169,2023-09-01T12:00,2023-09-01T09:00:01,2023-09-01T11:00:01
fac0df3ac4bc,2023-09-01T15:00,2023-09-01T09:00:01,2023-09-01T13:00:01
539c285a160c,2023-09-01T15:30,2023-09-01T09:00:01,2023-09-01T15:00:01
ab78a24ca854,2023-09-01T12:30,2023-09-01T09:00:01,2023-09-01T12:00:01
ec43b4df6b6a,2023-09-01T11:30,2023-09-01T09:00:01,2023-09-01T11:00:01
68f969c9f103,2023-09-01T11:00,2023-09-01T10:00:01,2023-09-01T11:00:01
b980b99bc7ce,2023-09-01T12:00,2023-09-01T10:00:01,2023-09-01T13:00:01
de9ffcb23166,2023-09-01T14:00,2023-09-01T10:00:01,2023-09-01T10:00:01
930776030547,2023-09-01T12:00,2023-09-01T10:00:01,2023-09-01T11:00:01
5f4aec2d4f32,2023-09-01T15:30,2023-09-01T10:00:01,2023-09-01T12:00:01
d9aa26c1b6ac,2023-09-01T15:30,2023-09-01T10:00:01,2023-09-01T14:00:01
c7913f9186ea,2023-09-01T14:00,2023-09-01T11:00:01,2023-09-01T14:00:01
c569fd08cec9,2023-09-01T16:00,2023-09-01T11:00:01,2023-09-01T11:00:01
50121f6c583b,2023-09-01T16:00,2023-09-01T11:00:01,2023-09-01T11:00:01
9e60d91ddda2,2023-09-01T16:00,2023-09-01T11:00:01,2023-09-01T11:00:01
