incident_id,sector,pt_name,service,first_seen_ts,last_seen_ts,first_absent_ts,snapshots_present
f0f1dfd0fc7e,1,11 Dorobanti,Deficienta ACC,2022-07-01T00:00:01,2022-07-02T14:00:01,2022-07-02T18:00:01,28
9924dfa4dbe9,1,Casata,Deficienta ACC,2022-07-01T00:00:01,2022-07-02T18:00:01,2022-07-02T20:00:01,29
ab4a6f2f5e7d,1,Cosmonautilor,Deficienta ACC,2022-07-01T00:00:01,2022-07-02T06:00:01,2022-07-02T09:00:01,22
27e6a14e02e7,1,61-63 Dorobanti,Deficienta ACC,2022-07-01T00:00:01,2022-07-02T18:00:01,2022-07-02T20:00:01,29
599201462352,2,1 Colentina,Deficienta ACC,2022-07-01T00:00:01,2022-07-01T12:00:01,2022-07-01T13:00:02,10
0a7db461478c,2,5 Mosilor,Deficienta ACC,2022-07-01T00:00:01,2022-07-01T12:00:01,2022-07-01T13:00:02,10
2e8b838fd0cd,2,2 Cheile Zanoagei,Deficienta ACC,2022-07-01T00:00:01,2022-07-01T12:00:01,2022-07-01T13:00:02,10
7c0fd2cdc650,2,3 Cheile Zanoagei,Deficienta ACC,2022-07-01T00:00:01,2022-07-01T08:00:01,2022-07-01T09:00:01,6
d1535560181b,6,1/1,Oprire ACC,2022-07-01T00:00:01,2022-07-06T19:00:01,2022-07-06T20:00:01,86
86e409905db5,1,I Grivita,Deficienta ACC,2022-07-01T06:00:01,2022-07-01T06:00:01,2022-07-01T07:00:01,1
6ce84adb5efc,1,3 Turda,Deficienta ACC,2022-07-01T06:00:01,2022-07-01T06:00:01,2022-07-01T07:00:01,1
a93c22bdae4a,6,4 Virtuții,Deficienta ACC,2022-07-01T06:00:01,2022-07-01T16:00:01,2022-07-01T18:00:01,11
24c7df77aa37,6,Ansamblul F7,Deficienta ACC,2022-07-01T06:00:01,2022-07-02T00:00:01,2022-07-02T06:00:01,18
