level,sector,pt_name,cause_class,slip_bucket,hits,n
pt_cause_slip,1,1 Aviatiei,balancing,0,10,21
pt_cause_slip,1,1 Aviatiei,balancing,1,5,11
pt_cause_slip,1,1 Aviatiei,balancing,2,2,7
pt_cause_slip,1,1 Aviatiei,balancing,3+,3,25
pt_cause_slip,1,1 Aviatiei,breakdown,0,33,98
pt_cause_slip,1,1 Aviatiei,breakdown,1,14,44
pt_cause_slip,1,1 Aviatiei,breakdown,2,7,15
pt_cause_slip,1,1 Aviatiei,breakdown,3+,4,8
pt_cause_slip,1,1 Aviatiei,maneuvers,3+,0,1
pt_cause_slip,1,1 Aviatiei,missing_params,0,12,37
pt_cause_slip,1,1 Aviatiei,missing_params,1,18,28
pt_cause_slip,1,1 Aviatiei,missing_params,2,5,17
pt_cause_slip,1,1 Aviatiei,missing_params,3+,13,62
pt_cause_slip,1,1 Aviatiei,other,0,8,9
pt_cause_slip,1,1 Aviatiei,other,1,2,2
pt_cause_slip,1,1 Aviatiei,other,2,2,2
pt_cause_slip,1,1 Aviatiei,planned_works,0,12,21
pt_cause_slip,1,1 Aviatiei,planned_works,1,1,8
pt_cause_slip,1,1 Aviatiei,planned_works,2,1,4
pt_cause_slip,1,1 Aviatiei,planned_works,3+,0,1
pt_cause_slip,1,1 Aviatiei - Partial,breakdown,0,0,15
pt_cause_slip,1,1 Aviatiei - Partial,other,0,1,1
pt_cause_slip,1,1 Banu Manta,balancing,0,4,11
pt_cause_slip,1,1 Banu Manta,balancing,1,1,8
pt_cause_slip,1,1 Banu Manta,balancing,2,0,2
pt_cause_slip,1,1 Banu Manta,balancing,3+,1,3
pt_cause_slip,1,1 Banu Manta,breakdown,0,18,42
pt_cause_slip,1,1 Banu Manta,breakdown,1,6,18
pt_cause_slip,1,1 Banu Manta,breakdown,2,1,2
pt_cause_slip,1,1 Banu Manta,breakdown,3+,0,7
pt_cause_slip,1,1 Banu Manta,missing_params,0,10,26
pt_cause_slip,1,1 Banu Manta,missing_params,1,7,13
pt_cause_slip,1,1 Banu Manta,missing_params,2,4,8
pt_cause_slip,1,1 Banu Manta,missing_params,3+,1,10
pt_cause_slip,1,1 Banu Manta,other,0,1,2
pt_cause_slip,1,1 Banu Manta,planned_works,0,7,21
pt_cause_slip,1,1 Banu Manta,planned_works,1,0,3
pt_cause_slip,1,1 Banu Manta,planned_works,2,1,2
pt_cause_slip,1,1 Banu Manta,planned_works,3+,3,3
pt_cause_slip,1,1 Banu Manta - Partial,breakdown,0,2,11
pt_cause_slip,1,1 Banu Manta - Partial,breakdown,1,2,4
pt_cause_slip,1,1 Bucurestii Noi,balancing,0,3,11
pt_cause_slip,1,1 Bucurestii Noi,balancing,1,1,5
pt_cause_slip,1,1 Bucurestii Noi,balancing,2,1,2
pt_cause_slip,1,1 Bucurestii Noi,balancing,3+,1,19
pt_cause_slip,1,1 Bucurestii Noi,breakdown,0,30,34
pt_cause_slip,1,1 Bucurestii Noi,breakdown,1,6,8
pt_cause_slip,1,1 Bucurestii Noi,breakdown,2,0,3
pt_cause_slip,1,1 Bucurestii Noi,breakdown,3+,0,2
pt_cause_slip,1,1 Bucurestii Noi,missing_params,0,27,69
pt_cause_slip,1,1 Bucurestii Noi,missing_params,1,5,20
pt_cause_slip,1,1 Bucurestii Noi,missing_params,2,1,12
pt_cause_slip,1,1 Bucurestii Noi,missing_params,3+,5,17
pt_cause_slip,1,1 Bucurestii Noi,other,0,1,4
pt_cause_slip,1,1 Bucurestii Noi,other,1,2,2
