snapshot_ts,sector,pt_name,blocks,service,cause,estimated_restore,zone_raw
2023-01-01T00:00:01,2,ALMO,5,Deficienta INC,Lipsa parametri pentru livrare încălzire,2022-12-31T23:00,• Ale Câmpul Moşilor - bl.ALMO4; ALMO5 • Şos Mihai Bravu - bl.ALMO2; ALMO3 • Şos Colentina - bl.ALMO 1
2023-01-01T00:00:01,2,1 Cheile Zanoagei,19,Deficienta INC,Lipsa parametri pentru livrare încălzire,2022-12-31T23:00,"• Str Cristea Mateescu - bl.T4A, T6A, T4B • Str Petre Antonescu - bl.T3A, T3B, T3C • Str Grigore Ionescu - bl.T8A, T7A , T7B, T7C, T6B • Str Brebu - bl.T9B, T9A, T10, T11, T5 • Str Oteşani - bl.T1, T2, T8B"
2023-01-01T00:00:01,2,7 Colentina,7,Deficienta INC,Lipsa parametri pentru livrare încălzire,2022-12-31T23:00,"• Str Elena - bl.OD7C; OD7B • Str Litovoi Voievod - bl. OD7A • Şos Colentina - bl.3, 5S; 6; 58"
2023-01-01T00:00:01,2,4 Stefan cel Mare,22,Deficienta INC,Lipsa parametri pentru livrare încălzire,2022-12-31T23:00,"• Şos Ştefan cel Mare - bl.38B, 39, 41; 33A, 35A, 36B, 35B, 36A, 41BC, 37, 38, 33B, 35B2 • Str Viitorului - bl.42A, 42B • Str Viesparilor - bl. 33C, 34 • Str Badea Cârţan - bl.37A , 40, 40Bis, imob.Nr.62, 67"
2023-01-01T00:00:01,2,2 Colentina,20,Deficienta INC,Lipsa parametri pentru livrare încălzire,2022-12-31T23:00,"• Str Ion Alexe - imob.Nr.1, 2, 3, 4, 7 • Str Maşina de Pâine - bl.OD32A, OD32B, OD55, OD36, OD59A, R31 • Şos Ştefan cel Mare - bl.34Bis • Str Baniţei - bl.OD59B+C • Şos Colentina - R27, OD40, 34, 33A, 33B, 33C, OD56"
2023-01-01T00:00:01,2,17-18 Petricani,15,Deficienta INC,Lipsa parametri pentru livrare încălzire,2022-12-31T23:00,"• Str Doamna Ghica - bl.1, 2, 3 ,4 • Str Lăptari Tei - bl.26,25 • Bld Lacul Tei - bl.17-18 • Str Teiul Doamnei - bl.M14,15, 16, 24, 23, 22, 21, 20 • Int Teiul Doamnei - bl. 19"
2023-01-01T00:00:01,2,6 Colentina,27,Deficienta INC,Lipsa parametri pentru livrare încălzire,2022-12-31T23:00,"• Str Doamna Ghica - bl.62 • Str Deva - imob. Nr. 5, 7, 3 • Str Trei Scaune - imob. Nr. 4, 7, 9, 11, 13, 17, 19, 21 • Str Oradea - imob. Nr.5, 16, 54, 52, 56, 66 • Str Odorhei - imob. Nr. 12, 16, 60, 62, 64, • Şos Colentina - bl.10, 9A,9B, 9C"
2023-01-01T00:00:01,2,Nada Florilor,7,Deficienta INC,Lipsa parametri pentru livrare încălzire,2022-12-31T23:00,"• Str Nada Florilor - bl.6, 6 Carpaţi, 2, 1 • Str Braşoveni - bl.5 • Str Ripiceni - bl.4, 3"
2023-01-02T14:00:01,6,4/6 - Partial,3,Oprire INC,Remediere avarie rețea secundară pe circuitul de încălzire - Str- Valea Oltului,2023-01-02T23:00,"• Str Valea Oltului - bl.M9, M10, A4"
2023-01-02T22:00:01,4,1 Berceni Oltenița - Partial,12,Oprire ACC,Remediere avarie rețea secundară pe circuitul de apă caldă de consum (sos. Oltenitei nr. 222 ),2023-01-03T12:00,"• Şos Olteniţei - bl. 6, 7, 8 • Str Parincea - bl. 5, 14, 15 • Str Voila - Școala nr.113 • Şos Berceni - bl. 1, 2, 3, 4, 9"
