snapshot_ts,status,observations
2026-09-01T02:22:51,ok,239
2026-09-01T09:59:19,ok,246
2026-09-01T15:23:57,ok,244
2026-09-01T19:47:47,ok,232
2026-09-01T22:41:22,ok,232
2026-09-02T01:01:21,ok,227
2026-09-02T07:26:39,ok,226
2026-09-02T11:54:28,ok,239
2026-09-02T16:04:57,ok,231
2026-09-02T20:08:32,ok,224
2026-09-02T22:46:18,ok,232
2026-09-03T01:09:58,ok,233
2026-09-03T07:21:00,ok,213
2026-09-03T12:03:06,ok,226
2026-09-03T16:33:04,ok,219
2026-09-03T20:12:25,ok,215
2026-09-03T22:49:45,ok,214
2026-09-04T01:00:27,ok,203
2026-09-04T10:12:12,ok,208
2026-09-04T15:06:56,ok,206
2026-09-04T19:18:29,ok,180
2026-09-04T22:02:10,ok,179
2026-09-05T00:25:27,ok,179
2026-09-05T02:07:24,ok,175
2026-09-05T03:55:16,ok,162
2026-09-05T08:03:52,ok,162
2026-09-05T12:01:10,ok,162
2026-09-05T15:39:42,ok,170
2026-09-05T18:32:00,ok,170
2026-09-05T20:37:16,ok,155
2026-09-05T22:28:30,ok,154
2026-09-06T02:09:31,ok,157
2026-09-06T08:18:36,ok,158
2026-09-06T16:06:44,ok,159
2026-09-06T19:13:39,ok,164
2026-09-06T21:17:44,ok,186
2026-09-06T23:34:52,ok,187
2026-09-07T01:20:13,ok,168
2026-09-07T07:32:48,ok,155
2026-09-07T12:42:39,ok,158
2026-09-07T18:15:23,ok,161
2026-09-07T22:10:58,ok,178
2026-09-08T01:00:07,ok,169
2026-09-08T07:29:57,ok,166
2026-09-08T11:59:37,ok,300
2026-09-08T16:22:36,ok,157
2026-09-08T20:18:26,ok,152
2026-09-08T22:59:58,ok,179
2026-09-09T01:26:53,ok,150
2026-09-09T03:24:36,ok,151
2026-09-09T07:56:15,ok,148
2026-09-09T12:20:01,ok,162
2026-09-09T16:48:15,ok,152
2026-09-09T20:25:55,ok,167
2026-09-09T22:54:43,ok,172
2026-09-10T01:06:17,ok,140
2026-09-10T03:11:56,ok,136
2026-09-10T07:39:27,ok,135
2026-09-10T12:10:33,ok,185
2026-09-10T16:34:08,ok,161
2026-09-10T20:11:48,ok,162
