alias,street,canonical
1 placare,,MILITARI - 1 Placare
1placare,,1Placare-T
2 placare,gura vadului,2 Placare-T
2 placare,hanul ancutei,MILITARI - 2 Placare
2 placare,iuliu maniu,MILITARI - 2 Placare
2 placare,mizil,2 Placare-T
2 placare,plt. maj. pazon marin,2 Placare-T
2 placare,trapezului,2 Placare-T
2 placare,valea buzaului,2 Placare-T
2 placare,valea lunga,MILITARI - 2 Placare
2 placare,vistiernicul stavrinos,MILITARI - 2 Placare
3 placare,iuliu maniu,MILITARI - 3 Placare
3 placare,lemnisorului,3 Placare-T
3 placare,mizil,3 Placare-T
3 placare,moinesti,MILITARI - 3 Placare
3 placare,prevederii,3 Placare-T
3a placare,,MILITARI - 3A Placare
4 placare,,MILITARI - 4 Placare
4placare,,4Placare-T
5 oltenitei,,5 Oltenita
5 placare,,MILITARI - 5 Placare
5a placare,,MILITARI - 5A Placare
5placare,,5Placare-T
6 placare,,MILITARI -  6 Placare
6placare,,6Placare-T
7 placare,azurului,MILITARI - 7 Placare
7 placare,basmului,MILITARI - 7 Placare
7 placare,camil ressu,7 Placare-T
7 placare,centurii,MILITARI - 7 Placare
7 placare,cupolei,MILITARI - 7 Placare
7 placare,ilioara,7 Placare-T
7 placare,nicolae grigorescu,7 Placare-T
7 placare,poarta alba,MILITARI - 7 Placare
7 placare,ticus,7 Placare-T
7 placare,timonierului,MILITARI - 7 Placare
8 placare,azurului,MILITARI - 8 Placare
8 placare,camil ressu,8 Placare-T
8 placare,george calboreanu,MILITARI - 8 Placare
8 placare,ilioara,8 Placare-T
8 placare,liniei,MILITARI - 8 Placare
8 placare,rasaritului,MILITARI - 8 Placare
8 placare,velei,MILITARI - 8 Placare
9 placare,camil ressu,9 Placare-T
9 placare,carabusului,MILITARI - 9 Placare
9 placare,crainicului,MILITARI - 9 Placare
9 placare,fizicienilor,9 Placare-T
9 placare,mohorului,MILITARI - 9 Placare
9 placare,valea lunga,MILITARI - 9 Placare
dageco,,S.C. Dageco Invest S.R.L.
gradinita nr.268,,Grădiniţa Nr.268 Scoala Nr.128
plavat,,MT PLAVAT
saboani,,Sabaoani
spitalul militar,,Spitalul Militar Central
stirbei voda,,Ct Stirbei Voda
camin radet,,Cămin RADET - ApaNova
ministerul de chimie,,Ministerul de Chimie (Inst.Politehnic Polizu)
modul termic - spitalul alexandru obregia ( cresa 25 ),,Modul Termic - Spitalul Alexandru Obregia ( Creșa 25 ) / Stationar de zi
